Formula,A,B,ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,r_A6,r_B,EN_A,EN_B,R_A,IE_A,D_A,TC_A,VLC_A,MP_A,BP_A,CR_A,VR_A,AM_A,R_B,IE_B,D_B,TC_B,VLC_B,MP_B,BP_B,CR_B,VR_B,AM_B,Cubic,Hexagonal,Monoclinic,Orthorhombic,Tetragonal,Triclinic,Trigonal
AcMgO3,Ac,Mg,3.25,2.416666667,24.35614422,16.97939662,2.34,2.13,0.514285714,0.840523155,260.996031,185.507196,206.591679,1.004716981,1.12,1.12,0.72,1.1,1.31,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,145,738,1.738,190.0,2,923.0,1363.0,141,173,24.305,1,0,0,0,0,0,1
AcMnO3,Ac,Mn,3.25,2.116666667,24.35614422,27.94334069,2.34,1.89,0.442857143,0.882133212,222.981775,185.507196,168.678511,0.935643564,1.12,1.12,0.62,1.1,1.55,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,127,717,7.44,7.7,7,1519.0,2334.0,103,197,54.93804,1,0,0,1,0,0,0
AcMoO3,Ac,Mo,3.25,2.316666667,24.35614422,53.27446652,2.34,1.28,0.442857143,0.882133212,245.898876,185.507196,191.852544,0.633663366,1.12,1.12,0.62,1.1,2.16,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,684,10.22,94.0,6,2896.0,4912.0,126,209,95.95,0,0,0,1,0,0,0
AcNaO3,Ac,Na,3.25,3.166666667,24.35614422,6.823951435,2.34,2.51,0.728571429,0.73632607,285.997399,185.507196,231.432991,1.037190083,1.12,1.12,1.02,1.1,0.93,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,190,496,0.971,85.0,1,370.95,1156.0,166,227,22.9897693,1,0,0,0,0,0,0
AcNbO3,Ac,Nb,3.25,2.433333333,24.35614422,50.58866814,2.34,1.84,0.485714286,0.856687062,244.9775,185.507196,190.695296,0.884615385,1.12,1.12,0.68,1.1,1.6,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,146,652,8.57,31.0,5,2750.0,5017.0,125,207,92.90637,0,0,0,1,0,0,0
AcNdO3,Ac,Nd,3.25,3.333333333,24.35614422,23.80426784,2.34,2.3,0.7,0.748701298,239.999856,185.507196,185.5239,0.966386555,1.12,1.12,0.98,1.1,1.14,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,200,533,7.007,94.0,8,1294.0,3347.0,120,229,144.24,1,0,0,0,0,0,0
AcNiO3,Ac,Ni,3.25,2.066666667,24.35614422,31.78807947,2.34,1.53,0.421428571,0.895431703,217.940951,185.507196,163.789319,0.768844221,1.12,1.12,0.59,1.1,1.91,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,124,737,8.912,91.0,10,1728.0,3186.0,98,163,58.693,1,0,0,1,0,0,0
AcNpO3,Ac,Np,3.25,2.916666667,24.35614422,16.86902134,2.34,2.08,0.614285714,0.788455349,239.993916,185.507196,185.610624,0.920353982,1.12,1.12,0.86,1.1,1.36,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,604,20.45,17.0,9,917.0,4175.0,120,221,237.048172,1,0,0,0,0,0,0
AcOsO3,Ac,Os,3.25,2.283333333,24.35614422,60.81677704,2.34,1.24,0.407142857,0.90452238,239.8911,185.507196,185.861616,0.629441624,1.12,1.12,0.57,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,840,22.61,23.0,16,3306.0,5285.0,120,216,190.2,0,0,0,1,0,0,0
AcPaO3,Ac,Pa,3.25,3.0,24.35614422,33.94039735,2.34,1.94,0.65,0.771389216,239.9856,185.507196,185.661276,0.83982684,1.12,1.12,0.91,1.1,1.5,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,180,568,15.37,58.0,7,1845.0,4026.0,120,243,231.03588,1,0,0,0,0,0,0
AcPbO3,Ac,Pb,3.25,2.916666667,24.35614422,11.04874908,2.34,1.11,0.707142857,0.745568656,239.863839,185.507196,185.889111,0.464435146,1.12,1.12,0.99,1.1,2.33,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,716,11.342,91.0,6,600.61,2022.0,120,202,207.0,0,0,0,1,0,0,0
AcPdO3,Ac,Pd,3.25,2.283333333,24.35614422,33.6285872,2.34,1.24,0.535714286,0.828794925,244.8911,185.507196,190.861616,0.576744186,1.12,1.12,0.75,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,804,12.02,91.0,10,1828.05,3236.0,125,163,106.42,1,0,0,1,0,0,0
AcPmO3,Ac,Pm,3.25,3.35,24.35614422,24.19058131,2.34,2.31,0.692857143,0.751860375,239.999919,185.507196,185.519751,0.974683544,1.12,1.12,0.97,1.1,1.13,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,201,540,7.26,7.7,1,1315.0,3273.0,120,236,144.91276,1,0,0,0,0,0,0
AcPrO3,Ac,Pr,3.25,3.333333333,24.35614422,22.1486387,2.34,2.31,0.657142857,0.768064262,239.999919,185.507196,185.519751,0.995689655,1.12,1.12,0.92,1.1,1.13,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,200,527,6.773,31.0,7,1204.0,3793.0,120,239,140.90766,1,0,0,0,0,0,0
AcPtO3,Ac,Pt,3.25,2.316666667,24.35614422,37.55610743,2.34,1.16,0.478571429,0.860825647,239.874684,185.507196,185.878896,0.560386473,1.12,1.12,0.67,1.1,2.28,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,870,21.46,94.0,18,2041.55,4098.0,120,209,195.08,0,0,0,1,0,0,0
AcPuO3,Ac,Pu,3.25,2.916666667,24.35614422,16.79543782,2.34,2.16,0.592857143,0.799062372,239.997084,185.507196,185.580096,0.968609865,1.12,1.12,0.83,1.1,1.28,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,585,19.84,23.0,10,913.0,3501.0,120,243,244.0642,1,0,0,0,0,0,0
AcRbO3,Ac,Rb,3.25,5.05,24.35614422,5.747976453,2.34,2.62,1.085714286,0.610242839,236.992944,185.507196,182.382204,0.897260274,1.12,1.12,1.52,1.1,0.82,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,303,403,1.532,58.0,1,312.46,961.0,117,303,85.468,0,0,0,1,0,0,0
AcReO3,Ac,Re,3.25,2.283333333,24.35614422,63.63134658,2.34,1.54,0.407142857,0.90452238,239.9424,185.507196,185.786556,0.781725888,1.12,1.12,0.57,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,760,21.02,17.0,15,3459.0,5869.0,120,217,186.207,0,0,0,1,0,0,0
