Formula,crystal_system,A,B,ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,r_A6,r_B,EN_A,EN_B,R_A,IE_A,D_A,TC_A,VLC_A,MP_A,BP_A,CR_A,VR_A,AM_A,R_B,IE_B,D_B,TC_B,VLC_B,MP_B,BP_B,CR_B,VR_B,AM_B
AcCdO3,Orthorhombic,Ac,Cd,3.25,2.516666667,24.35614422,10.93119941,2.34,1.75,0.678571429,0.758259187,242.968671,185.507196,188.724375,0.744680851,1.12,1.12,0.95,1.1,1.69,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,151,868,8.69,120.0,12,594.22,1040.0,123,158,112.41
AcCeO3,Cubic,Ac,Ce,3.25,3.3,24.35614422,19.70198675,2.34,2.32,0.671428571,0.761499611,239.999964,185.507196,185.515584,0.991452991,1.12,1.12,0.94,1.1,1.12,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,198,534,6.77,23.0,6,1071.0,3697.0,120,235,140.116
AcCoO3,Trigonal,Ac,Co,3.25,2.083333333,24.35614422,32.52391464,2.34,1.56,0.45,0.877787728,215.945244,185.507196,161.780976,0.768472906,1.12,1.12,0.63,1.1,1.88,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,125,760,8.86,100.0,9,1768.0,3200.0,96,192,58.93319
AcCrO3,Cubic,Ac,Cr,3.25,2.133333333,24.35614422,40.10301692,2.34,1.78,0.414285714,0.899954085,233.971776,185.507196,179.714844,0.898989899,1.12,1.12,0.58,1.1,1.66,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,128,653,7.15,94.0,6,2180.0,2944.0,114,189,51.996
AcCrO3,Orthorhombic,Ac,Cr,3.25,2.133333333,24.35614422,40.10301692,2.34,1.78,0.414285714,0.899954085,233.971776,185.507196,179.714844,0.898989899,1.12,1.12,0.58,1.1,1.66,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,128,653,7.15,94.0,6,2180.0,2944.0,114,189,51.996
AcCsO3,Tetragonal,Ac,Cs,3.25,4.966666667,24.35614422,5.548013245,2.34,2.65,1.192857143,0.580426413,239.991351,185.507196,185.367975,0.863192182,1.12,1.12,1.67,1.1,0.79,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,298,376,1.873,58.0,3,301.59,944.0,120,343,132.905452
AcCuO3,Cubic,Ac,Cu,3.25,2.25,24.35614422,24.97737307,2.34,1.54,0.485714286,0.856687062,225.9424,185.507196,171.786556,0.740384615,1.12,1.12,0.68,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,745,8.96,400.0,11,1357.77,2835.0,106,140,63.55
AcCuO3,Orthorhombic,Ac,Cu,3.25,2.25,24.35614422,24.97737307,2.34,1.54,0.485714286,0.856687062,225.9424,185.507196,171.786556,0.740384615,1.12,1.12,0.68,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,745,8.96,400.0,11,1357.77,2835.0,106,140,63.55
AcDyO3,Orthorhombic,Ac,Dy,3.25,3.133333333,24.35614422,30.99705666,2.34,2.22,0.707142857,0.745568656,239.998704,185.507196,185.556444,0.928870293,1.12,1.12,0.99,1.1,1.22,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,188,573,8.55,120.0,6,1685.0,2840.0,120,229,162.5
AcErO3,Orthorhombic,Ac,Er,3.25,3.15,24.35614422,33.14937454,2.34,2.2,0.635714286,0.77812624,239.998236,185.507196,185.5644,0.96069869,1.12,1.12,0.89,1.1,1.24,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,189,589,9.066,60.0,8,1802.0,3141.0,120,235,167.26
AcEuO3,Orthorhombic,Ac,Eu,3.25,3.3,24.35614422,20.14348786,2.34,2.24,0.757142857,0.724353288,239.9991,185.507196,185.548416,0.910569106,1.12,1.12,1.06,1.1,1.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,198,547,5.243,100.0,3,1095.0,1802.0,120,233,151.964
AcFeO3,Cubic,Ac,Fe,3.25,2.1,24.35614422,33.31493745,2.34,1.61,0.478571429,0.860825647,218.952039,185.507196,164.766711,0.777777778,1.12,1.12,0.67,1.1,1.83,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,126,762,7.874,79.0,8,1811.0,3134.0,99,194,55.84
AcFeO3,Orthorhombic,Ac,Fe,3.25,2.1,24.35614422,33.31493745,2.34,1.61,0.478571429,0.860825647,218.952039,185.507196,164.766711,0.777777778,1.12,1.12,0.67,1.1,1.83,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,126,762,7.874,79.0,8,1811.0,3134.0,99,194,55.84
AcGaO3,Cubic,Ac,Ga,3.25,2.25,24.35614422,5.572295806,2.34,1.63,0.442857143,0.882133212,241.954631,185.507196,187.760879,0.806930693,1.12,1.12,0.62,1.1,1.81,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,579,5.907,29.0,3,302.91,2477.0,122,187,69.723
AcGaO3,Orthorhombic,Ac,Ga,3.25,2.25,24.35614422,5.572295806,2.34,1.63,0.442857143,0.882133212,241.954631,185.507196,187.760879,0.806930693,1.12,1.12,0.62,1.1,1.81,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,579,5.907,29.0,3,302.91,2477.0,122,187,69.723
AcGdO3,Orthorhombic,Ac,Gd,3.25,3.216666667,24.35614422,29.17586461,2.34,2.24,0.671428571,0.761499611,239.9991,185.507196,185.548416,0.957264957,1.12,1.12,0.94,1.1,1.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,193,593,7.895,91.0,4,1586.0,3546.0,120,237,157.25
AcGeO3,Orthorhombic,Ac,Ge,3.25,2.033333333,24.35614422,22.28476821,2.34,1.43,0.45,0.877787728,239.925471,185.507196,185.815959,0.704433498,1.12,1.12,0.63,1.1,2.01,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,122,762,5.323,60.0,4,1211.4,3106.0,120,211,72.63
AcHfO3,Orthorhombic,Ac,Hf,3.25,2.916666667,24.35614422,46.10007358,2.34,2.14,0.507142857,0.844506677,239.9964,185.507196,185.587836,1.014218009,1.12,1.12,0.71,1.1,1.3,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,658,13.31,0.00943,12,2506.0,4876.0,120,212,178.49
AcHgO3,Orthorhombic,Ac,Hg,3.25,2.516666667,24.35614422,4.310522443,2.34,1.44,0.792857143,0.70992394,239.9271,185.507196,185.813376,0.573705179,1.12,1.12,1.11,1.1,2.0,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,151,1007,13.5336,79.0,4,234.32,629.88,120,209,200.59
AcHoO3,Orthorhombic,Ac,Ho,3.25,3.166666667,24.35614422,32.13760118,2.34,2.21,0.642857143,0.774743082,239.998479,185.507196,185.560431,0.960869565,1.12,1.12,0.9,1.1,1.23,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,190,581,8.795,29.0,7,1747.0,2973.0,120,216,164.93033
AcInO3,Orthorhombic,Ac,In,3.25,2.766666667,24.35614422,7.905629139,2.34,1.66,0.571428571,0.809958677,241.958384,185.507196,187.751996,0.754545455,1.12,1.12,0.8,1.1,1.78,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,166,558,7.31,29.0,13,429.75,2345.0,122,193,114.818
AcIrO3,Orthorhombic,Ac,Ir,3.25,2.266666667,24.35614422,50.01839588,2.34,1.24,0.45,0.877787728,239.8911,185.507196,185.861616,0.610837438,1.12,1.12,0.63,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,136,880,22.56,31.0,17,2719.0,4701.0,120,202,192.22
AcKO3,Orthorhombic,Ac,K,3.25,4.05,24.35614422,6.190765269,2.34,2.62,0.985714286,0.640974492,315.992944,185.507196,261.382204,0.942446043,1.12,1.12,1.38,1.1,0.82,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,243,419,0.862,140.0,1,336.53,1032.0,196,275,39.0983
AcLaO3,Cubic,Ac,La,3.25,3.25,24.35614422,21.90949227,2.34,2.34,0.735714286,0.733295921,240.0,185.507196,185.507196,0.962962963,1.12,1.12,1.03,1.1,1.1,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,195,538,6.145,17.0,5,1191.0,3737.0,120,240,138.9055
AcLiO3,Cubic,Ac,Li,3.25,2.783333333,24.35614422,8.345290655,2.34,2.46,0.542857143,0.824957911,247.998704,185.507196,193.455356,1.138888889,1.12,1.12,0.76,1.1,0.98,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,167,520,0.534,84.8,1,453.65,1615.0,128,182,7.0
AcLuO3,Orthorhombic,Ac,Lu,3.25,2.9,24.35614422,35.61442237,2.34,2.17,0.614285714,0.788455349,239.997399,185.507196,185.576199,0.960176991,1.12,1.12,0.86,1.1,1.27,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,174,523,9.84,0.12,11,1936.0,3675.0,120,221,174.9667
AcMgO3,Cubic,Ac,Mg,3.25,2.416666667,24.35614422,16.97939662,2.34,2.13,0.514285714,0.840523155,260.996031,185.507196,206.591679,1.004716981,1.12,1.12,0.72,1.1,1.31,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,145,738,1.738,190.0,2,923.0,1363.0,141,173,24.305
AcMgO3,Trigonal,Ac,Mg,3.25,2.416666667,24.35614422,16.97939662,2.34,2.13,0.514285714,0.840523155,260.996031,185.507196,206.591679,1.004716981,1.12,1.12,0.72,1.1,1.31,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,145,738,1.738,190.0,2,923.0,1363.0,141,173,24.305
AcMnO3,Cubic,Ac,Mn,3.25,2.116666667,24.35614422,27.94334069,2.34,1.89,0.442857143,0.882133212,222.981775,185.507196,168.678511,0.935643564,1.12,1.12,0.62,1.1,1.55,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,127,717,7.44,7.7,7,1519.0,2334.0,103,197,54.93804
AcMnO3,Orthorhombic,Ac,Mn,3.25,2.116666667,24.35614422,27.94334069,2.34,1.89,0.442857143,0.882133212,222.981775,185.507196,168.678511,0.935643564,1.12,1.12,0.62,1.1,1.55,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,127,717,7.44,7.7,7,1519.0,2334.0,103,197,54.93804
AcMoO3,Orthorhombic,Ac,Mo,3.25,2.316666667,24.35614422,53.27446652,2.34,1.28,0.442857143,0.882133212,245.898876,185.507196,191.852544,0.633663366,1.12,1.12,0.62,1.1,2.16,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,684,10.22,94.0,6,2896.0,4912.0,126,209,95.95
AcNaO3,Cubic,Ac,Na,3.25,3.166666667,24.35614422,6.823951435,2.34,2.51,0.728571429,0.73632607,285.997399,185.507196,231.432991,1.037190083,1.12,1.12,1.02,1.1,0.93,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,190,496,0.971,85.0,1,370.95,1156.0,166,227,22.9897693
AcNbO3,Orthorhombic,Ac,Nb,3.25,2.433333333,24.35614422,50.58866814,2.34,1.84,0.485714286,0.856687062,244.9775,185.507196,190.695296,0.884615385,1.12,1.12,0.68,1.1,1.6,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,146,652,8.57,31.0,5,2750.0,5017.0,125,207,92.90637
AcNdO3,Cubic,Ac,Nd,3.25,3.333333333,24.35614422,23.80426784,2.34,2.3,0.7,0.748701298,239.999856,185.507196,185.5239,0.966386555,1.12,1.12,0.98,1.1,1.14,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,200,533,7.007,94.0,8,1294.0,3347.0,120,229,144.24
AcNiO3,Cubic,Ac,Ni,3.25,2.066666667,24.35614422,31.78807947,2.34,1.53,0.421428571,0.895431703,217.940951,185.507196,163.789319,0.768844221,1.12,1.12,0.59,1.1,1.91,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,124,737,8.912,91.0,10,1728.0,3186.0,98,163,58.693
AcNiO3,Orthorhombic,Ac,Ni,3.25,2.066666667,24.35614422,31.78807947,2.34,1.53,0.421428571,0.895431703,217.940951,185.507196,163.789319,0.768844221,1.12,1.12,0.59,1.1,1.91,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,124,737,8.912,91.0,10,1728.0,3186.0,98,163,58.693
AcNpO3,Cubic,Ac,Np,3.25,2.916666667,24.35614422,16.86902134,2.34,2.08,0.614285714,0.788455349,239.993916,185.507196,185.610624,0.920353982,1.12,1.12,0.86,1.1,1.36,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,604,20.45,17.0,9,917.0,4175.0,120,221,237.048172
AcOsO3,Orthorhombic,Ac,Os,3.25,2.283333333,24.35614422,60.81677704,2.34,1.24,0.407142857,0.90452238,239.8911,185.507196,185.861616,0.629441624,1.12,1.12,0.57,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,840,22.61,23.0,16,3306.0,5285.0,120,216,190.2
AcPaO3,Cubic,Ac,Pa,3.25,3.0,24.35614422,33.94039735,2.34,1.94,0.65,0.771389216,239.9856,185.507196,185.661276,0.83982684,1.12,1.12,0.91,1.1,1.5,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,180,568,15.37,58.0,7,1845.0,4026.0,120,243,231.03588
AcPbO3,Orthorhombic,Ac,Pb,3.25,2.916666667,24.35614422,11.04874908,2.34,1.11,0.707142857,0.745568656,239.863839,185.507196,185.889111,0.464435146,1.12,1.12,0.99,1.1,2.33,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,716,11.342,91.0,6,600.61,2022.0,120,202,207.0
AcPdO3,Cubic,Ac,Pd,3.25,2.283333333,24.35614422,33.6285872,2.34,1.24,0.535714286,0.828794925,244.8911,185.507196,190.861616,0.576744186,1.12,1.12,0.75,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,804,12.02,91.0,10,1828.05,3236.0,125,163,106.42
AcPdO3,Orthorhombic,Ac,Pd,3.25,2.283333333,24.35614422,33.6285872,2.34,1.24,0.535714286,0.828794925,244.8911,185.507196,190.861616,0.576744186,1.12,1.12,0.75,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,804,12.02,91.0,10,1828.05,3236.0,125,163,106.42
AcPmO3,Cubic,Ac,Pm,3.25,3.35,24.35614422,24.19058131,2.34,2.31,0.692857143,0.751860375,239.999919,185.507196,185.519751,0.974683544,1.12,1.12,0.97,1.1,1.13,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,201,540,7.26,7.7,1,1315.0,3273.0,120,236,144.91276
AcPrO3,Cubic,Ac,Pr,3.25,3.333333333,24.35614422,22.1486387,2.34,2.31,0.657142857,0.768064262,239.999919,185.507196,185.519751,0.995689655,1.12,1.12,0.92,1.1,1.13,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,200,527,6.773,31.0,7,1204.0,3793.0,120,239,140.90766
AcPtO3,Orthorhombic,Ac,Pt,3.25,2.316666667,24.35614422,37.55610743,2.34,1.16,0.478571429,0.860825647,239.874684,185.507196,185.878896,0.560386473,1.12,1.12,0.67,1.1,2.28,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,870,21.46,94.0,18,2041.55,4098.0,120,209,195.08
AcPuO3,Cubic,Ac,Pu,3.25,2.916666667,24.35614422,16.79543782,2.34,2.16,0.592857143,0.799062372,239.997084,185.507196,185.580096,0.968609865,1.12,1.12,0.83,1.1,1.28,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,585,19.84,23.0,10,913.0,3501.0,120,243,244.0642
AcRbO3,Orthorhombic,Ac,Rb,3.25,5.05,24.35614422,5.747976453,2.34,2.62,1.085714286,0.610242839,236.992944,185.507196,182.382204,0.897260274,1.12,1.12,1.52,1.1,0.82,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,303,403,1.532,58.0,1,312.46,961.0,117,303,85.468
AcReO3,Orthorhombic,Ac,Re,3.25,2.283333333,24.35614422,63.63134658,2.34,1.54,0.407142857,0.90452238,239.9424,185.507196,185.786556,0.781725888,1.12,1.12,0.57,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,760,21.02,17.0,15,3459.0,5869.0,120,217,186.207
AcRhO3,Orthorhombic,Ac,Rh,3.25,2.25,24.35614422,41.15158205,2.34,1.16,0.435714286,0.886521935,244.874684,185.507196,190.878896,0.577114428,1.12,1.12,0.61,1.1,2.28,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,135,720,12.41,100.0,9,2237.0,3968.0,125,195,102.9055
AcRuO3,Orthorhombic,Ac,Ru,3.25,2.266666667,24.35614422,47.9580574,2.34,1.24,0.442857143,0.882133212,245.8911,185.507196,191.861616,0.613861386,1.12,1.12,0.62,1.1,2.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,136,710,12.37,79.0,8,2607.0,4423.0,126,207,101.1
AcSbO3,Orthorhombic,Ac,Sb,3.25,2.316666667,24.35614422,16.62582781,2.34,1.39,0.485714286,0.856687062,239.918775,185.507196,185.826111,0.668269231,1.12,1.12,0.68,1.1,2.05,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,139,834,6.685,50.0,15,903.78,1860.0,120,206,121.76
AcScO3,Cubic,Ac,Sc,3.25,2.7,24.35614422,33.37012509,2.34,2.08,0.535714286,0.828794925,267.993916,185.507196,213.610624,0.96744186,1.12,1.12,0.75,1.1,1.36,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,162,633,2.989,16.0,3,1814.0,3109.0,148,211,44.95591
AcScO3,Orthorhombic,Ac,Sc,3.25,2.7,24.35614422,33.37012509,2.34,2.08,0.535714286,0.828794925,267.993916,185.507196,213.610624,0.96744186,1.12,1.12,0.75,1.1,1.36,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,162,633,2.989,16.0,3,1814.0,3109.0,148,211,44.95591
AcSiO3,Cubic,Ac,Si,3.25,1.966666667,24.35614422,31.03384842,2.34,1.54,0.285714286,0.989949494,230.9424,185.507196,176.786556,0.855555556,1.12,1.12,0.4,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085
AcSiO3,Tetragonal,Ac,Si,3.25,1.966666667,24.35614422,31.03384842,2.34,1.54,0.285714286,0.989949494,230.9424,185.507196,176.786556,0.855555556,1.12,1.12,0.4,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,118,787,2.3296,140.0,4,1687.0,3538.0,111,210,28.085
AcSmO3,Orthorhombic,Ac,Sm,3.25,3.333333333,24.35614422,24.77924945,2.34,2.27,0.685714286,0.755046224,239.999559,185.507196,185.536239,0.961864407,1.12,1.12,0.96,1.1,1.17,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,200,545,7.52,79.0,2,1347.0,2067.0,120,229,150.4
AcSnO3,Orthorhombic,Ac,Sn,3.25,2.35,24.35614422,9.291390728,2.34,1.48,0.492857143,0.852588081,240.933436,185.507196,186.802864,0.708133971,1.12,1.12,0.69,1.1,1.96,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,141,709,7.287,60.0,14,505.08,2875.0,121,217,118.71
AcSrO3,Cubic,Ac,Sr,3.25,4.15,24.35614422,19.31567329,2.34,2.49,0.842857143,0.690662437,240.997975,185.507196,186.441991,0.965116279,1.12,1.12,1.18,1.1,0.95,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,249,550,2.64,35.0,2,1050.0,1655.0,121,249,87.62
AcTaO3,Orthorhombic,Ac,Ta,3.25,2.433333333,24.35614422,60.52244297,2.34,1.94,0.485714286,0.856687062,239.9856,185.507196,185.661276,0.932692308,1.12,1.12,0.68,1.1,1.5,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,146,761,16.654,58.0,13,3290.0,5731.0,120,217,180.9479
AcTbO3,Orthorhombic,Ac,Tb,3.25,3.2,24.35614422,29.96688742,2.34,2.24,0.6,0.795495129,239.9991,185.507196,185.548416,1.0,1.12,1.12,0.84,1.1,1.2,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,192,566,8.229,400.0,5,1629.0,3503.0,120,221,158.92535
AcTcO3,Orthorhombic,Ac,Tc,3.25,2.283333333,24.35614422,44.70198675,2.34,1.54,0.428571429,0.890954544,245.9424,185.507196,191.786556,0.77,1.12,1.12,0.6,1.1,1.9,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,137,702,11.5,7.7,7,2430.0,4538.0,126,209,96.90636
AcTeO3,Cubic,Ac,Te,3.25,2.216666667,24.35614422,13.29396615,2.34,1.34,0.55,0.821156262,239.91,185.507196,185.838396,0.617511521,1.12,1.12,0.77,1.1,2.1,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,133,869,6.232,0.52,16,722.66,1261.0,120,206,127.6
AcThO3,Cubic,Ac,Th,3.25,3.0,24.35614422,37.21486387,2.34,2.14,0.671428571,0.761499611,239.9964,185.507196,185.587836,0.914529915,1.12,1.12,0.94,1.1,1.3,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,180,587,11.72,0.00943,6,2023.0,5061.0,120,237,232.038
AcTiO3,Cubic,Ac,Ti,3.25,2.333333333,24.35614422,35.70640177,2.34,1.9,0.507142857,0.844506677,255.982576,185.507196,201.6751,0.900473934,1.12,1.12,0.71,1.1,1.54,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,140,659,4.54,22.0,4,1941.0,3560.0,136,187,47.867
AcTiO3,Orthorhombic,Ac,Ti,3.25,2.333333333,24.35614422,35.70640177,2.34,1.9,0.507142857,0.844506677,255.982576,185.507196,201.6751,0.900473934,1.12,1.12,0.71,1.1,1.54,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,140,659,4.54,22.0,4,1941.0,3560.0,136,187,47.867
AcTlO3,Orthorhombic,Ac,Tl,3.25,2.833333333,24.35614422,10.61442237,2.34,1.82,0.857142857,0.685349649,239.975664,185.507196,185.701884,0.7,1.12,1.12,1.2,1.1,1.62,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,170,589,11.85,100.0,5,577.0,1746.0,120,196,204.383
AcTmO3,Orthorhombic,Ac,Tm,3.25,3.133333333,24.35614422,33.44370861,2.34,2.19,0.685714286,0.755046224,239.997975,185.507196,185.568351,0.927966102,1.12,1.12,0.96,1.1,1.25,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,188,597,9.321,50.0,9,1818.0,2223.0,120,227,168.93422
AcUO3,Cubic,Ac,U,3.25,2.916666667,24.35614422,25.90139809,2.34,2.06,0.607142857,0.791959595,239.992944,185.507196,185.618076,0.915555556,1.12,1.12,0.85,1.1,1.38,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,175,597,18.95,35.0,8,1408.0,4404.0,120,240,238.0289
AcVO3,Cubic,Ac,V,3.25,2.233333333,24.35614422,40.15820456,2.34,1.81,0.457142857,0.873484847,244.974719,185.507196,190.705151,0.887254902,1.12,1.12,0.64,1.1,1.63,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,134,651,6.11,31.0,5,2183.0,3680.0,125,179,50.9415
AcVO3,Orthorhombic,Ac,V,3.25,2.233333333,24.35614422,40.15820456,2.34,1.81,0.457142857,0.873484847,244.974719,185.507196,190.705151,0.887254902,1.12,1.12,0.64,1.1,1.63,195,499,10.07,0.12,5,1324.0,3471.0,120,260,227.02775,134,651,6.11,31.0,5,2183.0,3680.0,125,179,50.9415
