ARR_A,ARR_B,MPR_A,MPR_B,END_A,END_B,OF,t,BL_AB,BL_AX,BL_BX,ENR,r_A12,IE_A,D_A,TC_A,VLC_A,BP_A,VR_A,AM_A,IE_B,D_B,TC_B,VLC_B,BP_B,VR_B,AM_B,crystal_system
3.25,3.0,24.35614422,37.21486387,2.34,2.14,0.671428571,0.761499611,239.9964,185.507196,185.587836,0.914529915,1.12,499,10.07,0.12,5,3471.0,260,227.02775,587,11.72,0.00943,6,5061.0,237,232.038,Cubic
3.25,2.833333333,24.35614422,10.61442237,2.34,1.82,0.857142857,0.685349649,239.975664,185.507196,185.701884,0.7,1.12,499,10.07,0.12,5,3471.0,260,227.02775,589,11.85,100.0,5,1746.0,196,204.383,Orthorhombic
3.25,3.133333333,24.35614422,33.44370861,2.34,2.19,0.685714286,0.755046224,239.997975,185.507196,185.568351,0.927966102,1.12,499,10.07,0.12,5,3471.0,260,227.02775,597,9.321,50.0,9,2223.0,227,168.93422,Orthorhombic
3.25,2.916666667,24.35614422,25.90139809,2.34,2.06,0.607142857,0.791959595,239.992944,185.507196,185.618076,0.915555556,1.12,499,10.07,0.12,5,3471.0,260,227.02775,597,18.95,35.0,8,4404.0,240,238.0289,Cubic
3.25,2.316666667,24.35614422,67.9727741,2.34,1.08,0.45,0.877787728,239.857116,185.507196,185.895024,0.532019704,1.12,499,10.07,0.12,5,3471.0,260,227.02775,770,19.25,35.0,14,5828.0,210,183.84,Orthorhombic
3.25,3.083333333,24.35614422,20.08830022,2.34,2.34,0.678571429,0.758259187,240.0,185.507196,185.507196,0.995744681,1.12,499,10.07,0.12,5,3471.0,260,227.02775,603,6.965,0.52,10,1469.0,242,173.05,Orthorhombic
3.25,3.733333333,24.35614422,33.02060338,2.34,2.22,0.642857143,0.774743082,242.998704,185.507196,188.556444,0.965217391,1.12,499,10.07,0.12,5,3471.0,260,227.02775,600,4.469,17.0,3,3618.0,219,88.90584,Orthorhombic
3.25,2.316666667,24.35614422,12.74245769,2.34,1.79,0.528571429,0.832667798,241.972775,185.507196,187.711631,0.836448598,1.12,499,10.07,0.12,5,3471.0,260,227.02775,906,7.134,120.0,12,1180.0,139,65.4,Orthorhombic
3.25,3.516666667,24.35614422,39.1464312,2.34,2.11,0.514285714,0.840523155,244.995239,185.507196,190.599311,0.995283019,1.12,499,10.07,0.12,5,3471.0,260,227.02775,640,6.506,23.0,4,4682.0,186,91.22,Orthorhombic
2.666666667,2.666666667,22.71762325,22.71762325,1.51,1.51,0.678571429,0.806402627,248.0,189.794791,189.794791,0.642553191,1.28,731,10.501,400.0,11,2435.0,172,107.868,731,10.501,400.0,11,2435.0,172,107.868,Cubic
2.666666667,3.25,22.71762325,24.35614422,1.51,2.34,0.8,0.75200245,243.937999,189.794791,185.507196,0.928571429,1.28,731,10.501,400.0,11,2435.0,172,107.868,499,10.07,0.12,5,3471.0,260,227.02775,Orthorhombic
2.666666667,2.383333333,22.71762325,17.17139441,1.51,1.83,0.385714286,0.976827925,244.990784,189.794791,186.698599,0.943298969,1.28,731,10.501,400.0,11,2435.0,172,107.868,578,2.698,27.0,3,2792.0,184,26.981538,Orthorhombic
2.666666667,4.216666667,22.71762325,18.39587932,1.51,2.55,0.964285714,0.689107699,243.902656,189.794791,185.414775,0.927272727,1.28,731,10.501,400.0,11,2435.0,172,107.868,503,3.594,35.0,4,2170.0,268,137.33,Orthorhombic
2.666666667,1.866666667,22.71762325,28.69757174,1.51,1.87,0.321428571,1.024349283,219.988336,189.794791,161.685279,1.010810811,1.28,731,10.501,400.0,11,2435.0,172,107.868,900,1.85,200.0,2,2744.0,153,9.012183,Cubic
2.666666667,3.233333333,22.71762325,20.51140545,1.51,2.44,0.714285714,0.789602572,294.922159,189.794791,236.464176,1.016666667,1.28,731,10.501,400.0,11,2435.0,172,107.868,590,1.54,200.0,2,1757.0,231,40.08,Trigonal
2.666666667,2.516666667,22.71762325,10.93119941,1.51,1.75,0.678571429,0.806402627,246.994816,189.794791,188.724375,0.744680851,1.28,731,10.501,400.0,11,2435.0,172,107.868,868,8.69,120.0,12,1040.0,158,112.41,Cubic
2.666666667,3.3,22.71762325,19.70198675,1.51,2.32,0.671428571,0.809848792,243.940951,189.794791,185.515584,0.991452991,1.28,731,10.501,400.0,11,2435.0,172,107.868,534,6.77,23.0,6,3697.0,235,140.116,Orthorhombic
2.666666667,2.083333333,22.71762325,32.52391464,1.51,1.56,0.45,0.933520283,219.999775,189.794791,161.780976,0.768472906,1.28,731,10.501,400.0,11,2435.0,172,107.868,760,8.86,100.0,9,3200.0,192,58.93319,Orthorhombic
2.666666667,2.133333333,22.71762325,40.10301692,1.51,1.78,0.35,1.002669933,237.993439,189.794791,179.714844,0.941798942,1.28,731,10.501,400.0,11,2435.0,172,107.868,653,7.15,94.0,6,2944.0,189,51.996,Orthorhombic
2.666666667,4.966666667,22.71762325,5.548013245,1.51,2.65,1.192857143,0.617278884,243.883036,189.794791,185.367975,0.863192182,1.28,731,10.501,400.0,11,2435.0,172,107.868,376,1.873,58.0,3,944.0,343,132.905452,Cubic
2.666666667,2.25,22.71762325,24.97737307,1.51,1.54,0.485714286,0.911079891,229.999919,189.794791,171.786556,0.740384615,1.28,731,10.501,400.0,11,2435.0,172,107.868,745,8.96,400.0,11,2835.0,140,63.55,Orthorhombic
2.666666667,3.133333333,22.71762325,30.99705666,1.51,2.22,0.707142857,0.792906349,243.954631,189.794791,185.556444,0.928870293,1.28,731,10.501,400.0,11,2435.0,172,107.868,573,8.55,120.0,6,2840.0,229,162.5,Cubic
2.666666667,3.15,22.71762325,33.14937454,1.51,2.2,0.635714286,0.82753108,243.957151,189.794791,185.5644,0.96069869,1.28,731,10.501,400.0,11,2435.0,172,107.868,589,9.066,60.0,8,3141.0,235,167.26,Cubic
2.666666667,3.3,22.71762325,20.14348786,1.51,2.24,0.757142857,0.770343973,243.952039,189.794791,185.548416,0.910569106,1.28,731,10.501,400.0,11,2435.0,172,107.868,547,5.243,100.0,3,1802.0,233,151.964,Orthorhombic
2.666666667,2.1,22.71762325,33.31493745,1.51,1.61,0.478571429,0.915481243,222.9991,189.794791,164.766711,0.777777778,1.28,731,10.501,400.0,11,2435.0,172,107.868,762,7.874,79.0,8,3134.0,194,55.84,Orthorhombic
2.666666667,2.25,22.71762325,5.572295806,1.51,1.63,0.442857143,0.93814167,245.998704,189.794791,187.760879,0.806930693,1.28,731,10.501,400.0,11,2435.0,172,107.868,579,5.907,29.0,3,2477.0,187,69.723,Orthorhombic
2.666666667,3.216666667,22.71762325,29.17586461,1.51,2.24,0.671428571,0.809848792,243.952039,189.794791,185.548416,0.957264957,1.28,731,10.501,400.0,11,2435.0,172,107.868,593,7.895,91.0,4,3546.0,237,157.25,Cubic
2.666666667,2.033333333,22.71762325,22.28476821,1.51,1.43,0.45,0.933520283,243.999424,189.794791,185.815959,0.704433498,1.28,731,10.501,400.0,11,2435.0,172,107.868,762,5.323,60.0,4,3106.0,211,72.63,Orthorhombic
2.666666667,2.916666667,22.71762325,46.10007358,1.51,2.14,0.507142857,0.898126149,243.964279,189.794791,185.587836,1.014218009,1.28,731,10.501,400.0,11,2435.0,172,107.868,658,13.31,0.00943,12,4876.0,212,178.49,Orthorhombic
2.666666667,2.516666667,22.71762325,4.310522443,1.51,1.44,0.792857143,0.754998476,243.999559,189.794791,185.813376,0.573705179,1.28,731,10.501,400.0,11,2435.0,172,107.868,1007,13.5336,79.0,4,629.88,209,200.59,Cubic
2.666666667,3.166666667,22.71762325,32.13760118,1.51,2.21,0.642857143,0.823933119,243.9559,189.794791,185.560431,0.960869565,1.28,731,10.501,400.0,11,2435.0,172,107.868,581,8.795,29.0,7,2973.0,216,164.93033,Cubic
2.666666667,2.766666667,22.71762325,7.905629139,1.51,1.66,0.571428571,0.861384624,245.997975,189.794791,187.751996,0.754545455,1.28,731,10.501,400.0,11,2435.0,172,107.868,558,7.31,29.0,13,2345.0,193,114.818,Cubic
2.666666667,2.266666667,22.71762325,50.01839588,1.51,1.24,0.407142857,0.961952372,243.993439,189.794791,185.861616,0.629441624,1.28,731,10.501,400.0,11,2435.0,172,107.868,880,22.56,31.0,17,4701.0,202,192.22,Trigonal
2.666666667,4.05,22.71762325,6.190765269,1.51,2.62,0.985714286,0.681671285,319.889111,189.794791,261.382204,0.942446043,1.28,731,10.501,400.0,11,2435.0,172,107.868,419,0.862,140.0,1,1032.0,275,39.0983,Cubic
2.666666667,3.25,22.71762325,21.90949227,1.51,2.34,0.735714286,0.779854392,243.937999,189.794791,185.507196,0.962962963,1.28,731,10.501,400.0,11,2435.0,172,107.868,538,6.145,17.0,5,3737.0,240,138.9055,Orthorhombic
2.666666667,2.783333333,22.71762325,8.345290655,1.51,2.46,0.542857143,0.877336191,251.918775,189.794791,193.455356,1.138888889,1.28,731,10.501,400.0,11,2435.0,172,107.868,520,0.534,84.8,1,1615.0,182,7.0,Cubic
2.666666667,2.9,22.71762325,35.61442237,1.51,2.17,0.614285714,0.838516006,243.960796,189.794791,185.576199,0.960176991,1.28,731,10.501,400.0,11,2435.0,172,107.868,523,9.84,0.12,11,3675.0,221,174.9667,Cubic
2.666666667,2.416666667,22.71762325,16.97939662,1.51,2.13,0.514285714,0.893889705,264.965404,189.794791,206.591679,1.004716981,1.28,731,10.501,400.0,11,2435.0,172,107.868,738,1.738,190.0,2,1363.0,173,24.305,Cubic
2.666666667,2.116666667,22.71762325,27.94334069,1.51,1.89,0.442857143,0.93814167,226.987004,189.794791,168.678511,0.935643564,1.28,731,10.501,400.0,11,2435.0,172,107.868,717,7.44,7.7,7,2334.0,197,54.93804,Orthorhombic
2.666666667,2.316666667,22.71762325,53.27446652,1.51,1.28,0.435714286,0.942809042,249.995239,189.794791,191.852544,0.63681592,1.28,731,10.501,400.0,11,2435.0,172,107.868,684,10.22,94.0,6,4912.0,209,95.95,Cubic
2.666666667,3.166666667,22.71762325,6.823951435,1.51,2.51,0.728571429,0.783076931,289.91,189.794791,231.432991,1.037190083,1.28,731,10.501,400.0,11,2435.0,172,107.868,496,0.971,85.0,1,1156.0,227,22.9897693,Cubic
2.666666667,2.433333333,22.71762325,50.58866814,1.51,1.84,0.457142857,0.928944203,248.990199,189.794791,190.695296,0.901960784,1.28,731,10.501,400.0,11,2435.0,172,107.868,652,8.57,31.0,5,5017.0,207,92.90637,Trigonal
2.666666667,3.333333333,22.71762325,23.80426784,1.51,2.3,0.7,0.796237888,243.943831,189.794791,185.5239,0.966386555,1.28,731,10.501,400.0,11,2435.0,172,107.868,533,7.007,94.0,8,3347.0,229,144.24,Cubic
2.666666667,2.066666667,22.71762325,31.78807947,1.51,1.53,0.421428571,0.952284509,221.999964,189.794791,163.789319,0.768844221,1.28,731,10.501,400.0,11,2435.0,172,107.868,737,8.912,91.0,10,3186.0,163,58.693,Orthorhombic
2.666666667,2.916666667,22.71762325,16.86902134,1.51,2.08,0.614285714,0.838516006,243.970759,189.794791,185.610624,0.920353982,1.28,731,10.501,400.0,11,2435.0,172,107.868,604,20.45,17.0,9,4175.0,221,237.048172,Orthorhombic
2.666666667,2.283333333,22.71762325,60.81677704,1.51,1.24,0.407142857,0.961952372,243.993439,189.794791,185.861616,0.629441624,1.28,731,10.501,400.0,11,2435.0,172,107.868,840,22.61,23.0,16,5285.0,216,190.2,Trigonal
2.666666667,3.0,22.71762325,33.94039735,1.51,1.94,0.65,0.820366309,243.983359,189.794791,185.661276,0.83982684,1.28,731,10.501,400.0,11,2435.0,172,107.868,568,15.37,58.0,7,4026.0,243,231.03588,Trigonal
2.666666667,2.283333333,22.71762325,33.6285872,1.51,1.24,0.535714286,0.881416825,248.993439,189.794791,190.861616,0.576744186,1.28,731,10.501,400.0,11,2435.0,172,107.868,804,12.02,91.0,10,3236.0,163,106.42,Orthorhombic
2.666666667,3.35,22.71762325,24.19058131,1.51,2.31,0.692857143,0.799597542,243.9424,189.794791,185.519751,0.974683544,1.28,731,10.501,400.0,11,2435.0,172,107.868,540,7.26,7.7,1,3273.0,236,144.91276,Cubic
2.666666667,3.333333333,22.71762325,22.1486387,1.51,2.31,0.657142857,0.816830247,243.9424,189.794791,185.519751,0.995689655,1.28,731,10.501,400.0,11,2435.0,172,107.868,527,6.773,31.0,7,3793.0,239,140.90766,Orthorhombic
2.666666667,2.316666667,22.71762325,37.55610743,1.51,1.16,0.478571429,0.915481243,243.988975,189.794791,185.878896,0.560386473,1.28,731,10.501,400.0,11,2435.0,172,107.868,870,21.46,94.0,18,4098.0,209,195.08,Orthorhombic
2.666666667,2.916666667,22.71762325,16.79543782,1.51,2.16,0.592857143,0.84979649,243.961975,189.794791,185.580096,0.968609865,1.28,731,10.501,400.0,11,2435.0,172,107.868,585,19.84,23.0,10,3501.0,243,244.0642,Orthorhombic
2.666666667,5.05,22.71762325,5.747976453,1.51,2.62,1.085714286,0.648988416,240.889111,189.794791,182.382204,0.897260274,1.28,731,10.501,400.0,11,2435.0,172,107.868,403,1.532,58.0,1,961.0,303,85.468,Cubic
2.666666667,2.283333333,22.71762325,63.63134658,1.51,1.54,0.414285714,0.957094027,243.999919,189.794791,185.786556,0.777777778,1.28,731,10.501,400.0,11,2435.0,172,107.868,760,21.02,17.0,15,5869.0,217,186.207,Cubic
2.666666667,2.25,22.71762325,41.15158205,1.51,1.16,0.435714286,0.942809042,248.988975,189.794791,190.878896,0.577114428,1.28,731,10.501,400.0,11,2435.0,172,107.868,720,12.41,100.0,9,3968.0,195,102.9055,Orthorhombic
2.666666667,2.7,22.71762325,33.37012509,1.51,2.08,0.535714286,0.881416825,271.970759,189.794791,213.610624,0.96744186,1.28,731,10.501,400.0,11,2435.0,172,107.868,633,2.989,16.0,3,3109.0,211,44.95591,Orthorhombic
2.666666667,1.966666667,22.71762325,31.03384842,1.51,1.54,0.285714286,1.05280343,234.999919,189.794791,176.786556,0.855555556,1.28,731,10.501,400.0,11,2435.0,172,107.868,787,2.3296,140.0,4,3538.0,210,28.085,Tetragonal
2.666666667,3.333333333,22.71762325,24.77924945,1.51,2.27,0.685714286,0.802985667,243.948016,189.794791,185.536239,0.961864407,1.28,731,10.501,400.0,11,2435.0,172,107.868,545,7.52,79.0,2,2067.0,229,150.4,Cubic
2.666666667,2.35,22.71762325,9.291390728,1.51,1.48,0.492857143,0.906720657,244.999919,189.794791,186.802864,0.708133971,1.28,731,10.501,400.0,11,2435.0,172,107.868,709,7.287,60.0,14,2875.0,217,118.71,Orthorhombic
2.666666667,4.15,22.71762325,19.31567329,1.51,2.49,0.842857143,0.734514021,244.913564,189.794791,186.441991,0.965116279,1.28,731,10.501,400.0,11,2435.0,172,107.868,550,2.64,35.0,2,1655.0,249,87.62,Orthorhombic
